CustomerOrderID,CustomerID,OrderTakerID,OrderDate,CouponID
1,40,49,2025-07-15,
2,16,28,2025-08-05,7
3,57,41,2025-08-25,
4,160,9,2025-08-05,
5,72,27,2025-07-03,
6,52,16,2025-04-15,
7,28,20,2025-05-19,
8,176,20,2025-10-03,
9,95,46,2025-07-26,11
10,188,12,2025-07-28,
11,116,18,2025-04-30,8
12,22,13,2025-08-18,7
13,142,33,2025-07-11,
14,50,12,2025-10-01,8
15,137,49,2025-04-11,1
16,193,43,2025-05-10,
17,48,22,2025-07-29,
18,22,20,2025-08-30,
19,199,15,2025-09-13,
20,21,46,2025-06-14,3
21,151,43,2025-06-14,
22,16,5,2025-05-14,5
23,65,42,2025-06-29,4
24,105,23,2025-08-06,11
25,170,19,2025-08-12,
26,194,43,2025-07-09,
27,41,49,2025-06-08,1
28,142,31,2025-06-09,4
29,115,10,2025-08-11,
30,199,16,2025-07-15,
31,26,30,2025-05-03,
32,98,36,2025-09-27,
33,114,7,2025-10-05,5
34,96,23,2025-06-22,
35,98,42,2025-04-28,
36,3,46,2025-06-12,
37,124,25,2025-05-28,7
38,91,41,2025-06-05,4
39,136,24,2025-08-24,
40,174,15,2025-05-14,
41,28,24,2025-09-18,
42,12,9,2025-05-07,
43,108,36,2025-10-03,
44,114,15,2025-07-11,
45,49,19,2025-07-18,
46,85,15,2025-06-02,
47,68,12,2025-04-12,12
48,78,35,2025-09-23,
49,28,47,2025-07-26,
50,76,35,2025-09-07,
51,40,24,2025-06-12,
52,91,28,2025-05-09,
53,30,24,2025-08-28,
54,169,39,2025-05-14,
55,95,12,2025-07-04,6
56,89,8,2025-08-17,
57,55,20,2025-05-30,
58,144,34,2025-06-05,
59,164,50,2025-07-20,
60,118,42,2025-05-21,
61,86,16,2025-07-03,
62,199,13,2025-08-16,12
63,46,5,2025-09-22,
64,121,5,2025-07-29,
65,166,5,2025-06-20,
66,142,40,2025-08-04,
67,122,42,2025-06-29,
68,22,50,2025-07-04,
69,94,11,2025-09-11,
70,99,47,2025-08-28,12
71,172,9,2025-07-01,
72,198,34,2025-05-03,
73,61,50,2025-09-28,
74,136,35,2025-07-14,
75,27,39,2025-07-12,
76,102,4,2025-07-23,
77,86,44,2025-10-07,
78,158,30,2025-08-06,2
79,156,50,2025-08-26,
80,108,16,2025-04-20,
81,171,12,2025-07-23,
82,62,23,2025-04-25,
83,91,3,2025-05-12,
84,76,3,2025-08-03,13
85,49,44,2025-04-17,14
86,103,30,2025-07-11,
87,21,7,2025-06-29,5
88,112,43,2025-07-07,13
89,192,35,2025-07-10,
90,33,3,2025-07-29,13
91,36,39,2025-04-27,
92,74,42,2025-06-01,
93,141,5,2025-10-06,
94,142,24,2025-04-14,
95,82,9,2025-04-26,
96,78,10,2025-08-18,6
97,33,18,2025-08-27,
98,68,39,2025-09-19,
99,119,32,2025-07-23,10
100,62,21,2025-05-05,
101,148,21,2025-05-18,
102,130,27,2025-05-01,
103,121,47,2025-09-22,1
104,94,28,2025-07-10,1
105,94,39,2025-07-03,
106,122,22,2025-10-07,
107,190,43,2025-07-17,
108,153,2,2025-09-16,
109,5,13,2025-05-06,
110,135,32,2025-09-24,
111,178,44,2025-09-29,8
112,177,14,2025-10-05,
113,198,24,2025-07-18,
114,144,18,2025-08-23,
115,164,15,2025-08-21,2
116,74,21,2025-06-20,
117,107,12,2025-04-17,
118,3,3,2025-06-21,10
119,135,36,2025-09-19,
120,66,44,2025-08-03,
121,157,12,2025-05-27,
122,115,17,2025-07-15,
123,41,20,2025-08-05,
124,171,36,2025-08-06,
125,16,8,2025-08-30,
126,34,31,2025-04-22,
127,109,3,2025-04-26,2
128,21,27,2025-07-13,
129,59,25,2025-08-22,6
130,197,42,2025-07-24,
131,115,3,2025-09-07,
132,139,15,2025-07-29,14
133,148,50,2025-06-06,10
134,161,12,2025-09-06,
135,119,10,2025-10-06,
136,155,48,2025-07-13,
137,123,14,2025-08-29,15
138,181,41,2025-10-03,15
139,93,17,2025-06-25,
140,185,40,2025-09-04,
141,87,47,2025-09-22,14
142,13,46,2025-04-27,
143,5,33,2025-09-23,9
144,39,35,2025-05-02,10
145,24,3,2025-09-21,
146,11,35,2025-05-02,15
147,42,20,2025-04-27,
148,8,22,2025-07-18,
149,19,49,2025-06-10,3
150,143,38,2025-07-31,
151,154,41,2025-05-01,
152,69,9,2025-05-21,8
153,65,24,2025-04-27,
154,86,31,2025-07-01,
155,72,27,2025-06-30,
156,113,14,2025-10-06,
157,62,20,2025-09-17,3
158,138,49,2025-07-09,
159,166,12,2025-07-07,
160,177,40,2025-09-28,
161,117,23,2025-06-26,
162,41,38,2025-05-22,7
163,72,14,2025-06-01,
164,94,12,2025-08-23,8
165,81,43,2025-08-21,
166,30,20,2025-06-08,12
167,163,33,2025-05-25,
168,14,42,2025-08-01,
169,130,39,2025-07-15,
170,191,39,2025-08-03,
171,56,36,2025-07-29,
172,68,30,2025-04-16,14
173,189,14,2025-06-07,
174,153,18,2025-08-22,
175,71,4,2025-07-22,
176,126,27,2025-09-28,11
177,125,32,2025-07-11,1
178,137,5,2025-07-08,
179,161,7,2025-04-19,
180,168,6,2025-06-17,
181,102,4,2025-05-20,
182,58,40,2025-05-11,
183,36,21,2025-07-11,
184,185,23,2025-07-29,12
185,193,9,2025-05-03,12
186,169,2,2025-10-01,
187,127,16,2025-04-21,
188,100,9,2025-06-28,
189,129,49,2025-09-15,
190,163,41,2025-07-17,
191,63,4,2025-06-08,7
192,190,47,2025-06-26,
193,133,36,2025-07-05,
194,110,22,2025-04-15,2
195,198,17,2025-05-18,10
196,63,1,2025-04-19,6
197,96,39,2025-04-27,11
198,18,27,2025-04-19,
199,119,16,2025-09-14,
200,195,1,2025-07-02,
201,60,3,2025-05-01,
202,101,21,2025-06-13,
203,116,11,2025-05-05,
204,155,48,2025-10-05,14
205,104,2,2025-05-22,
206,6,5,2025-06-13,
207,44,4,2025-08-04,
208,159,42,2025-04-16,
209,162,16,2025-08-20,
210,121,4,2025-06-18,
211,189,21,2025-09-06,
212,52,43,2025-07-01,
213,96,5,2025-07-10,
214,144,49,2025-05-22,
215,47,3,2025-08-31,
216,3,31,2025-07-02,4
217,99,4,2025-04-08,
218,9,5,2025-08-01,6
219,153,22,2025-05-01,
220,170,17,2025-08-24,4
221,14,10,2025-08-11,
222,121,27,2025-06-25,
223,68,31,2025-07-29,5
224,61,39,2025-08-07,
225,147,35,2025-09-01,
226,82,17,2025-09-07,
227,71,21,2025-08-27,
228,107,8,2025-07-24,10
229,175,41,2025-09-13,
230,69,32,2025-04-20,
231,176,48,2025-08-11,14
232,166,41,2025-07-23,8
233,80,5,2025-05-18,
234,71,13,2025-10-05,
235,24,48,2025-06-13,7
236,166,15,2025-06-01,4
237,156,17,2025-06-04,
238,150,27,2025-09-14,9
239,168,17,2025-06-17,
240,128,44,2025-04-14,
241,176,15,2025-10-07,
242,175,12,2025-08-29,
243,85,28,2025-06-25,
244,52,9,2025-05-16,10
245,196,39,2025-05-21,13
246,110,27,2025-07-26,
247,178,15,2025-06-10,
248,187,31,2025-06-21,
249,94,8,2025-05-21,
250,13,42,2025-08-22,
251,30,48,2025-04-20,
252,160,18,2025-08-19,
253,51,33,2025-05-05,
254,85,32,2025-10-01,1
255,200,6,2025-05-16,
256,119,17,2025-06-22,14
257,195,7,2025-05-07,
258,113,24,2025-07-01,
259,108,32,2025-10-01,
260,146,32,2025-09-06,
261,125,32,2025-05-11,7
262,133,22,2025-09-26,
263,127,32,2025-08-15,
264,130,4,2025-06-18,11
265,27,2,2025-09-22,
266,159,41,2025-05-01,
267,57,46,2025-05-02,6
268,66,7,2025-07-21,
269,12,28,2025-05-05,
270,149,48,2025-05-23,14
271,156,29,2025-07-15,
272,155,28,2025-05-13,
273,83,43,2025-10-02,
274,109,19,2025-08-22,
275,193,14,2025-06-22,
276,74,48,2025-08-16,
277,142,21,2025-09-30,12
278,51,41,2025-08-25,
279,31,34,2025-05-22,
280,14,42,2025-06-29,
281,57,23,2025-05-01,
282,30,1,2025-09-21,
283,131,35,2025-07-12,
284,25,6,2025-08-17,13
285,118,2,2025-05-17,
286,19,38,2025-06-11,
287,173,25,2025-04-12,1
288,57,36,2025-05-18,7
289,106,15,2025-07-05,
290,65,5,2025-09-26,12
291,146,39,2025-05-17,
292,174,9,2025-07-09,
293,188,17,2025-05-28,
294,149,2,2025-09-16,
295,24,34,2025-08-14,
296,195,15,2025-04-18,
297,133,14,2025-09-26,
298,190,18,2025-09-17,9
299,36,34,2025-04-09,
300,184,42,2025-07-09,
301,42,40,2025-05-31,
302,133,12,2025-06-13,
303,169,42,2025-05-24,
304,5,7,2025-05-11,14
305,1,36,2025-09-09,
306,26,39,2025-10-03,
307,134,39,2025-04-09,1
308,175,18,2025-09-11,
309,79,17,2025-08-09,
310,14,49,2025-09-30,11
311,23,29,2025-09-08,4
312,199,4,2025-09-07,
313,168,17,2025-07-09,3
314,151,28,2025-07-18,1
315,90,40,2025-08-29,14
316,19,38,2025-05-05,
317,198,32,2025-08-30,6
318,133,23,2025-07-22,
319,147,15,2025-07-07,12
320,159,16,2025-05-29,
321,158,33,2025-09-24,14
322,135,4,2025-05-10,
323,173,1,2025-04-10,10
324,141,12,2025-06-13,5
325,34,39,2025-05-24,
326,3,32,2025-05-16,8
327,13,39,2025-08-29,
328,93,18,2025-07-02,
329,125,34,2025-09-27,
330,104,39,2025-09-11,
331,168,22,2025-06-27,5
332,43,14,2025-04-28,
333,135,27,2025-04-14,
334,100,44,2025-04-29,4
335,70,36,2025-08-05,
336,135,29,2025-08-30,
337,3,36,2025-08-06,
338,184,11,2025-06-10,
339,69,36,2025-09-21,
340,159,31,2025-09-18,
341,4,10,2025-05-01,
342,140,5,2025-07-17,
343,189,16,2025-07-30,
344,83,20,2025-09-29,12
345,77,43,2025-08-09,15
346,4,21,2025-07-28,5
347,195,22,2025-09-13,
348,33,7,2025-08-23,
349,181,33,2025-04-18,
350,42,38,2025-09-08,3
351,62,43,2025-07-10,2
352,9,12,2025-05-11,8
353,180,42,2025-08-20,
354,54,1,2025-04-26,
355,95,28,2025-08-28,
356,20,20,2025-04-26,
357,173,23,2025-09-02,
358,96,21,2025-08-26,
359,186,1,2025-07-18,5
360,40,39,2025-09-01,8
361,56,40,2025-07-19,
362,21,25,2025-09-02,
363,98,43,2025-09-17,9
364,179,35,2025-06-30,1
365,103,38,2025-04-20,7
366,176,21,2025-07-27,
367,49,24,2025-07-10,10
368,160,30,2025-09-12,1
369,159,16,2025-04-21,
370,134,36,2025-05-30,
371,3,44,2025-08-05,11
372,81,7,2025-10-06,
373,176,23,2025-04-12,
374,39,15,2025-06-18,7
375,107,15,2025-09-30,3
376,181,49,2025-06-26,
377,185,36,2025-08-28,6
378,39,18,2025-09-18,
379,69,42,2025-09-11,
380,50,11,2025-05-13,7
381,194,13,2025-09-26,3
382,138,41,2025-09-01,
383,133,16,2025-04-18,
384,49,4,2025-09-16,7
385,24,30,2025-09-20,
386,35,36,2025-10-03,
387,167,49,2025-06-29,
388,99,49,2025-08-20,
389,187,20,2025-06-25,
390,61,33,2025-09-10,11
391,48,4,2025-05-31,11
392,73,47,2025-05-19,
393,121,19,2025-04-24,12
394,23,35,2025-09-16,
395,60,42,2025-05-24,
396,107,42,2025-05-31,
397,83,38,2025-08-15,
398,8,42,2025-08-31,
399,118,43,2025-05-17,
400,8,18,2025-05-16,7
401,78,31,2025-07-12,5
402,129,32,2025-04-14,6
403,30,35,2025-10-07,15
404,134,7,2025-04-19,
405,172,31,2025-06-28,3
406,90,36,2025-05-30,
407,8,9,2025-04-20,
408,46,27,2025-07-26,
409,25,31,2025-10-03,
410,122,5,2025-04-15,8
411,137,20,2025-04-26,
412,170,12,2025-06-07,
413,127,22,2025-07-14,
414,1,43,2025-09-03,
415,82,47,2025-05-30,13
416,141,24,2025-04-23,
417,61,2,2025-06-19,
418,35,9,2025-09-26,11
419,35,29,2025-09-23,11
420,148,1,2025-09-09,
421,124,39,2025-04-17,
422,187,10,2025-04-28,
423,176,5,2025-09-26,
424,153,48,2025-04-17,
425,34,17,2025-06-18,
426,180,17,2025-05-22,3
427,165,4,2025-07-05,14
428,122,20,2025-08-07,
429,164,36,2025-05-02,
430,87,35,2025-05-27,
431,27,35,2025-05-03,
432,164,41,2025-06-02,2
433,48,39,2025-09-20,
434,178,29,2025-06-17,
435,113,12,2025-06-14,15
436,158,14,2025-07-27,
437,171,3,2025-04-08,
438,112,32,2025-08-11,
439,32,32,2025-10-01,
440,118,6,2025-07-04,
441,177,43,2025-05-05,
442,7,13,2025-04-17,
443,31,27,2025-04-18,11
444,162,12,2025-04-11,5
445,28,5,2025-09-06,10
446,86,12,2025-09-06,5
447,35,3,2025-09-03,14
448,164,10,2025-05-30,8
449,61,38,2025-04-09,9
450,57,34,2025-08-24,
451,46,33,2025-08-07,15
452,65,29,2025-05-31,13
453,84,40,2025-09-06,
454,121,5,2025-06-03,
455,46,31,2025-09-11,
456,178,3,2025-05-10,
457,44,42,2025-09-18,
458,147,10,2025-09-06,
459,188,48,2025-04-11,
460,42,20,2025-09-26,
461,110,19,2025-04-16,
462,94,24,2025-04-18,9
463,62,22,2025-05-13,
464,135,34,2025-08-10,
465,74,13,2025-07-17,
466,128,10,2025-10-03,4
467,86,44,2025-08-19,
468,67,11,2025-06-25,6
469,45,12,2025-06-20,
470,95,17,2025-07-29,9
471,42,36,2025-07-31,
472,82,31,2025-05-15,12
473,79,8,2025-08-27,10
474,57,35,2025-09-04,
475,126,14,2025-07-17,10
476,114,28,2025-07-30,13
477,23,25,2025-09-06,11
478,78,3,2025-08-11,
479,32,32,2025-09-17,
480,191,41,2025-04-25,
481,82,10,2025-04-22,
482,75,4,2025-07-08,11
483,154,7,2025-05-24,
484,57,34,2025-05-17,
485,134,41,2025-07-30,
486,33,20,2025-06-05,2
487,17,3,2025-06-11,1
488,172,12,2025-05-29,
489,91,23,2025-09-03,9
490,130,14,2025-05-03,
491,32,21,2025-05-06,
492,142,15,2025-07-30,
493,37,8,2025-04-29,
494,92,27,2025-09-19,
495,174,33,2025-04-25,3
496,126,33,2025-09-24,
497,43,49,2025-06-24,
498,176,38,2025-09-23,
499,16,21,2025-06-19,1
500,89,29,2025-05-02,
501,118,3,2025-06-30,
502,26,33,2025-05-03,
503,94,20,2025-09-12,
504,58,27,2025-09-01,
505,146,5,2025-06-16,
506,160,18,2025-07-19,
507,134,4,2025-09-15,8
508,17,21,2025-07-22,
509,125,32,2025-06-26,
510,125,50,2025-04-18,
511,94,28,2025-04-24,
512,147,8,2025-06-07,
513,128,17,2025-08-20,
514,56,29,2025-06-07,3
515,180,24,2025-08-22,
516,6,21,2025-07-11,
517,78,18,2025-07-17,14
518,9,28,2025-09-19,2
519,117,21,2025-08-26,
520,1,9,2025-09-19,
521,106,47,2025-09-07,
522,47,24,2025-07-23,
523,159,27,2025-04-20,
524,127,47,2025-08-02,12
525,56,41,2025-05-30,
526,95,16,2025-08-01,
527,25,5,2025-06-12,
528,172,42,2025-07-07,
529,87,33,2025-08-14,
530,33,3,2025-06-27,
531,196,34,2025-06-27,
532,118,33,2025-08-29,
533,70,34,2025-05-21,
534,96,27,2025-05-09,
535,169,49,2025-08-03,
536,55,9,2025-08-31,
537,6,6,2025-07-19,
538,111,33,2025-06-23,
539,69,33,2025-07-16,
540,183,47,2025-09-20,8
541,142,4,2025-08-31,1
542,101,12,2025-05-23,7
543,67,41,2025-04-28,
544,4,8,2025-07-18,8
545,33,6,2025-06-24,4
546,124,14,2025-04-14,
547,30,2,2025-07-25,3
548,107,29,2025-10-07,
549,81,39,2025-07-25,
550,186,19,2025-05-19,6
551,168,47,2025-07-23,
552,78,33,2025-07-23,9
553,41,48,2025-07-08,14
554,132,48,2025-05-16,
555,157,7,2025-05-06,
556,31,43,2025-05-20,
557,52,8,2025-05-13,
558,193,10,2025-06-09,
559,133,49,2025-04-10,
560,16,29,2025-05-20,
561,170,49,2025-09-16,
562,38,42,2025-08-21,
563,186,27,2025-07-02,
564,194,22,2025-08-19,
565,186,20,2025-06-08,
566,183,39,2025-09-03,
567,200,13,2025-09-04,
568,24,6,2025-07-22,15
569,133,38,2025-09-05,
570,33,34,2025-05-14,
571,105,41,2025-05-08,6
572,56,19,2025-06-25,12
573,156,50,2025-08-07,3
574,43,6,2025-09-20,
575,5,12,2025-08-22,4
576,126,3,2025-09-05,
577,82,35,2025-04-14,
578,47,10,2025-06-20,2
579,183,2,2025-05-24,7
580,97,18,2025-06-29,
581,61,40,2025-09-07,
582,167,38,2025-06-10,
583,138,16,2025-05-21,
584,150,14,2025-09-16,
585,111,18,2025-08-28,9
586,178,2,2025-07-01,15
587,45,47,2025-04-10,
588,46,27,2025-07-08,
589,3,30,2025-05-27,1
590,127,18,2025-04-17,
591,33,40,2025-04-24,
592,6,47,2025-05-27,
593,133,24,2025-08-12,
594,21,22,2025-05-27,
595,51,16,2025-04-27,5
596,161,40,2025-04-14,
597,159,41,2025-04-26,
598,97,3,2025-04-23,14
599,78,4,2025-07-30,
600,3,42,2025-09-23,
